Adalimumab_drugsCom	Adalimumab_MedEffect	Adalimumab_OpenFDA	Adalimumab_Twitter	sideefects
0.0027586206896551718	0.00046628500375618475	0.0021517659091210965	0.00049800796812749	, vitamin a, vitamin d
0.0066815144766147	0.00020726731005894165	0.0003553129244246089	0.0004800768122899664	, night waking,night wake,interrupted sleep,middle insomnia,interrupting sleep,fitful sleep,night wakes,waking night
0.0028694404591104736	0.0006478446209461122	0.0005085320375183636	0.00025687130747495504	, rheumatoid factor, Rheumatoid factor
0.0028694404591104736	0.0008161784710256643	0.0032427942520142877	0.00025687130747495504	, perforated bowel,intestine perforation,bowel perforation,bowel perforations,perforation of intestine,intestinal perforations,intestines perforation,bowels perforated,perforation intestinal,intestinal perforation,bowel perforated
0.005738880918220947	0.0001295722818974565	0.00031907680444580354	0.00025687130747495504	, guttate psoriasis, Guttate psoriasis
0.0028694404591104736	0.0007772624815400161	0.002081707863676356	0.00025687130747495504	, ocular hyperaemia,eyes inflamed,eye inflamed,eye inflammed,eye inflam,ocular hyperemia,conjunctival hyperemia
0.002861230329041488	0.00014252766332374512	0.0009902733885626747	0.0002566735112936345	, prostatic cancer,of prostate cancer,prostatic cancers,cancer of the prostate,cancer of prostate,cancer prostatic,malignant neoplasm prostate,ca prostate,malignant prostate tumour,cancer prostates,prostate ca,prostate cancer,malignant neoplasm of prostate,cancer prostate
0.0028653295128939827	2.5912777590629942e-05	6.647256677169332e-05	0.0002566735112936345	, bleeding time
0.002861230329041488	1.2956053067993367e-05	0.00020605057544608292	0.0002563445270443476	, prostatitis, Prostatitis
0.002861230329041488	1.2956053067993367e-05	0.00020605057544608292	0.0002563445270443476	, prostatism, Prostatism
0.0028530670470756072	7.77433691384739e-05	0.002508397316845466	0.00025608194622279127	, sinus headache,headaches sinus,headache sinus, sinus headache, Sinus headache
0.0028653295128939827	0.00022023578183702548	0.00257257140960316	0.0002557544757033248	,  obstructive
0.0028653295128939827	0.00022023578183702548	0.00257257140960316	0.0002557544757033248	, obstruction, Obstruction
0.0028653295128939827	0.0003109170758249019	0.0037764275261081225	0.0002557544757033248	, Inguinal hernia, obstructive
0.0028653295128939827	0.00024614587381785203	0.002655205031613535	0.00025568908207619537	, Peptic ulcer, obstructive
0.002844950213371266	0.00014252212332050638	0.0004686129057988353	0.00025542784163473816	, food poisoning, Food poisoning
0.0027247956403269754	0.0006337381497432714	0.003031162594332155	0.00025406504065040653	, impairments memory,impairment memory,poor memory,memory poor,memory problems,memory disturbance,memory deficits,memory impairment,impaired memory,bad memory,memory deficit,impair memory
0.0028490028490028487	0.0009439573796777613	0.004055431961438635	0.00025342118601115053	, locs,lost consciousness,consciousness loss,unawareness,consiousness loss,loc,loss of consiousness,unconsciousness,loss of consciousness,unconscious
0.002844950213371266	0.0001684396014459892	0.0005981457481806403	0.0002523977788995457	, muscles pulled,strains,muscle pulling,strain,strain muscle,muscle pulled,muscles pulling,muscle pull,muscle strain,muscle strained,pulled muscle,muscles strains,pull muscle,muscle pulls,muscle strains,strained,muscles strained,muscles pull,muscle pull or tear,muscles strain
